--------- beginning of main
09-02 17:27:17.722 14031 14031 E adbd    : recv: OPEN 0002479e 00000000 0086:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 63 6F 6D 2E 6F 70 65 72 61 2E 62 72 6F 77 73 65 72 2F 63 6F 6D 2E 6F 70 65 72 61 2E 4F 70 65 72 61 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 17:27:17.722 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n com.opera.browser/com.opera.Opera --activity-clear-task
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f1505a2, entry index(1442) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f1506f4, entry index(1780) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150588, entry index(1416) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f15059f, entry index(1439) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150649, entry index(1609) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150442, entry index(1090) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150718, entry index(1816) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f15017c, entry index(380) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f15059d, entry index(1437) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f15020a, entry index(522) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150586, entry index(1414) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f15071c, entry index(1820) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f1502af, entry index(687) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150274, entry index(628) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150244, entry index(580) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150274, entry index(628) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150372, entry index(882) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f15035b, entry index(859) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f15035c, entry index(860) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f1502ad, entry index(685) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150565, entry index(1381) is beyond type entryCount(281)
09-02 17:27:18.744  6534  6534 W ResourceType: For resource 0x7f150567, entry index(1383) is beyond type entryCount(281)
09-02 17:27:18.745  6534  6534 W ResourceType: For resource 0x7f150241, entry index(577) is beyond type entryCount(281)
09-02 17:27:18.745  6534  6534 I chatty  : uid=10158(u0_a158) identical 3 lines
09-02 17:27:18.747  6534  6534 W ResourceType: For resource 0x7f150241, entry index(577) is beyond type entryCount(281)
09-02 17:27:18.748  6534  6534 W ResourceType: For resource 0x7f150728, entry index(1832) is beyond type entryCount(281)
09-02 17:27:18.748  6534  6534 W ResourceType: For resource 0x7f150728, entry index(1832) is beyond type entryCount(281)
09-02 17:27:18.748  6534  6534 W ResourceType: For resource 0x7f1505b4, entry index(1460) is beyond type entryCount(281)
09-02 17:27:18.748  6534  6534 W ResourceType: For resource 0x7f150138, entry index(312) is beyond type entryCount(281)
09-02 17:27:18.748  6534  6534 W ResourceType: For resource 0x7f150728, entry index(1832) is beyond type entryCount(281)
09-02 17:27:18.749  6534  6534 I chatty  : uid=10158(u0_a158) identical 4 lines
09-02 17:27:18.749  6534  6534 W ResourceType: For resource 0x7f150728, entry index(1832) is beyond type entryCount(281)
09-02 17:27:18.756  6534  6534 W ResourceType: For resource 0x7f1504e5, entry index(1253) is beyond type entryCount(281)
09-02 17:27:18.757  6534  6534 I chatty  : uid=10158(u0_a158) identical 2 lines
09-02 17:27:18.757  6534  6534 W ResourceType: For resource 0x7f1504e5, entry index(1253) is beyond type entryCount(281)
09-02 17:27:18.771  3979  4323 I OpenGLRenderer: Initialized EGL, version 1.4
09-02 17:27:18.771  3979  4323 D OpenGLRenderer: Swap behavior 2
09-02 17:27:18.774  6534  6539 I zygote  : Do partial code cache collection, code=48KB, data=52KB
09-02 17:27:18.775  6534  6539 I zygote  : After code cache collection, code=48KB, data=52KB
09-02 17:27:18.775  6534  6539 I zygote  : Increasing code cache capacity to 256KB
09-02 17:27:18.782  3979 10224 D ConnectivityService: filterNetworkStateForUid() uid: 10158 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 17:27:18.795  6534  6534 D ConnectivityManager: requestNetwork; CallingUid : 10158, CallingPid : 6534
09-02 17:27:18.798  3979 10224 D ConnectivityService: listenForNetwork for uid/pid:10158/6534 NetworkRequest [ LISTEN id=1122, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&FOREGROUND] ]
09-02 17:27:18.799  3979  4180 D ConnectivityService: rematching NetworkAgentInfo [WIFI () - 502]
09-02 17:27:18.799  3979  4180 D ConnectivityService:  network has: [ Transports: WIFI Capabilities: NOT_METERED&INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VPN&VALIDATED&FOREGROUND LinkUpBandwidth>=1048576Kbps LinkDnBandwidth>=1048576Kbps SignalStrength: -56]
09-02 17:27:18.799  3979  4180 D ConnectivityService: Network NetworkAgentInfo [WIFI () - 502] was already satisfying request 3. No change.
09-02 17:27:18.799  3979  4180 D ConnectivityService: Network NetworkAgentInfo [WIFI () - 502] was already satisfying request 1. No change.
09-02 17:27:18.799  3979  4180 D ConnectivityService: Network NetworkAgentInfo [WIFI () - 502] was already satisfying request 1087. No change.
09-02 17:27:18.799  3979  4180 D ConnectivityService: Network NetworkAgentInfo [WIFI () - 502] was already satisfying request 1084. No change.
09-02 17:27:18.799  3979  4180 D ConnectivityService: Network NetworkAgentInfo [WIFI () - 502] was already satisfying request 140. No change.
09-02 17:27:18.799  3979  4180 D ConnectivityService: sending notification AVAILABLE for NetworkRequest [ LISTEN id=1122, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&FOREGROUND] ]
09-02 17:27:18.799  3979 10224 D ConnectivityService: filterNetworkStateForUid() uid: 10158 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 17:27:18.799  3979  4180 D ConnectivityService: sending notification CAP_CHANGED for NetworkRequest [ LISTEN id=1122, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&FOREGROUND] ]
09-02 17:27:18.800  3979  4180 D ConnectivityService: sending notification IP_CHANGED for NetworkRequest [ LISTEN id=1122, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&FOREGROUND] ]
09-02 17:27:18.838  6534  6534 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<com.appsflyer.internal.AFf1jSDK$2>: java.lang.NoClassDefFoundError: Failed resolution of: Lcom/miui/referrer/api/GetAppsReferrerStateListener;
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.appsflyer.internal.AFa1eSDK.afDebugLog() (SourceFile:20)
09-02 17:27:18.838  6534  6534 I zygote  :   at com.appsflyer.AppsFlyerLib com.appsflyer.internal.AFa1eSDK.init(java.lang.String, com.appsflyer.AppsFlyerConversionListener, android.content.Context) (SourceFile:100)
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.opera.android.AppsflyerInitializer.b() (SourceFile:397)
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.opera.android.AppsflyerInitializer.h(g15) (SourceFile:9)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.FullLifecycleObserverAdapter.q(g15, androidx.lifecycle.c$b) (SourceFile:43)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.e$a.a(g15, androidx.lifecycle.c$b) (SourceFile:18)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.e.i() (SourceFile:329)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.e.g(androidx.lifecycle.c$c) (SourceFile:51)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.e.f(androidx.lifecycle.c$b) (SourceFile:10)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.i.a(android.app.Activity, androidx.lifecycle.c$b) (SourceFile:29)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.i.b(androidx.lifecycle.c$b) (SourceFile:11)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.i.onActivityCreated(android.os.Bundle) (SourceFile:6)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.Fragment.performActivityCreated(android.os.Bundle) (Fragment.java:2620)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveToState(android.app.Fragment, int, int, int, boolean) (FragmentManager.java:1296)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveFragmentToExpectedState(android.app.Fragment) (FragmentManager.java:1549)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveToState(int, boolean) (FragmentManager.java:1611)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.dispatchMoveToState(int) (FragmentManager.java:3045)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.dispatchActivityCreated() (FragmentManager.java:2997)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentController.dispatchActivityCreated() (FragmentController.java:179)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.Activity.performCreateCommon() (Activity.java:7177)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7185)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1220)
09-02 17:27:18.838  6534  6534 I zygote  :   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2910)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:3032)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1696)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:105)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.os.Looper.loop() (Looper.java:164)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6940)
09-02 17:27:18.838  6534  6534 I zygote  :   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.android.internal.os.Zygote$MethodAndArgsCaller.run() (Zygote.java:327)
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:1374)
09-02 17:27:18.838  6534  6534 I zygote  : Caused by: java.lang.ClassNotFoundException: Didn't find class "com.miui.referrer.api.GetAppsReferrerStateListener" on path: DexPathList[[zip file "/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/base.apk", zip file "/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.armeabi_v7a.apk", zip file "/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.en.apk", zip file "/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.xhdpi.apk"],nativeLibraryDirectories=[/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/lib/arm, /data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/base.apk!/lib/armeabi-v7a, /data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.armeabi_v7a.apk!/lib/armeabi-v7a, /data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.en.apk!/lib/armeabi-v7a, /data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.xhdpi.apk!/lib/armeabi-v7a, /system/lib, /vendor/lib]]
09-02 17:27:18.838  6534  6534 I zygote  :   at java.lang.Class dalvik.system.BaseDexClassLoader.findClass(java.lang.String) (BaseDexClassLoader.java:93)
09-02 17:27:18.838  6534  6534 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String, boolean) (ClassLoader.java:379)
09-02 17:27:18.838  6534  6534 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String) (ClassLoader.java:312)
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.appsflyer.internal.AFa1eSDK.afDebugLog() (SourceFile:20)
09-02 17:27:18.838  6534  6534 I zygote  :   at com.appsflyer.AppsFlyerLib com.appsflyer.internal.AFa1eSDK.init(java.lang.String, com.appsflyer.AppsFlyerConversionListener, android.content.Context) (SourceFile:100)
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.opera.android.AppsflyerInitializer.b() (SourceFile:397)
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.opera.android.AppsflyerInitializer.h(g15) (SourceFile:9)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.FullLifecycleObserverAdapter.q(g15, androidx.lifecycle.c$b) (SourceFile:43)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.e$a.a(g15, androidx.lifecycle.c$b) (SourceFile:18)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.e.i() (SourceFile:329)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.e.g(androidx.lifecycle.c$c) (SourceFile:51)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.e.f(androidx.lifecycle.c$b) (SourceFile:10)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.i.a(android.app.Activity, androidx.lifecycle.c$b) (SourceFile:29)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.i.b(androidx.lifecycle.c$b) (SourceFile:11)
09-02 17:27:18.838  6534  6534 I zygote  :   at void androidx.lifecycle.i.onActivityCreated(android.os.Bundle) (SourceFile:6)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.Fragment.performActivityCreated(android.os.Bundle) (Fragment.java:2620)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveToState(android.app.Fragment, int, int, int, boolean) (FragmentManager.java:1296)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveFragmentToExpectedState(android.app.Fragment) (FragmentManager.java:1549)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveToState(int, boolean) (FragmentManager.java:1611)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.dispatchMoveToState(int) (FragmentManager.java:3045)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.dispatchActivityCreated() (FragmentManager.java:2997)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.FragmentController.dispatchActivityCreated() (FragmentController.java:179)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.Activity.performCreateCommon() (Activity.java:7177)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7185)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1220)
09-02 17:27:18.838  6534  6534 I zygote  :   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2910)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:3032)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1696)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:105)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.os.Looper.loop() (Looper.java:164)
09-02 17:27:18.838  6534  6534 I zygote  :   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6940)
09-02 17:27:18.838  6534  6534 I zygote  :   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.android.internal.os.Zygote$MethodAndArgsCaller.run() (Zygote.java:327)
09-02 17:27:18.838  6534  6534 I zygote  :   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:1374)
09-02 17:27:18.838  6534  6534 I zygote  : 
09-02 17:27:18.839  6534  6534 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<com.appsflyer.internal.AFf1jSDK$2>: java.lang.NoClassDefFoundError: Failed resolution of: Lcom/miui/referrer/api/GetAppsReferrerStateListener;
09-02 17:27:18.839  6534  6534 I zygote  :   at void com.appsflyer.internal.AFa1eSDK.afDebugLog() (SourceFile:20)
09-02 17:27:18.839  6534  6534 I zygote  :   at com.appsflyer.AppsFlyerLib com.appsflyer.internal.AFa1eSDK.init(java.lang.String, com.appsflyer.AppsFlyerConversionListener, android.content.Context) (SourceFile:100)
09-02 17:27:18.839  6534  6534 I zygote  :   at void com.opera.android.AppsflyerInitializer.b() (SourceFile:397)
09-02 17:27:18.839  6534  6534 I zygote  :   at void com.opera.android.AppsflyerInitializer.h(g15) (SourceFile:9)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.FullLifecycleObserverAdapter.q(g15, androidx.lifecycle.c$b) (SourceFile:43)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.e$a.a(g15, androidx.lifecycle.c$b) (SourceFile:18)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.e.i() (SourceFile:329)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.e.g(androidx.lifecycle.c$c) (SourceFile:51)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.e.f(androidx.lifecycle.c$b) (SourceFile:10)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.i.a(android.app.Activity, androidx.lifecycle.c$b) (SourceFile:29)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.i.b(androidx.lifecycle.c$b) (SourceFile:11)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.i.onActivityCreated(android.os.Bundle) (SourceFile:6)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.Fragment.performActivityCreated(android.os.Bundle) (Fragment.java:2620)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveToState(android.app.Fragment, int, int, int, boolean) (FragmentManager.java:1296)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveFragmentToExpectedState(android.app.Fragment) (FragmentManager.java:1549)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveToState(int, boolean) (FragmentManager.java:1611)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.dispatchMoveToState(int) (FragmentManager.java:3045)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.dispatchActivityCreated() (FragmentManager.java:2997)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentController.dispatchActivityCreated() (FragmentController.java:179)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.Activity.performCreateCommon() (Activity.java:7177)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7185)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1220)
09-02 17:27:18.839  6534  6534 I zygote  :   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2910)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:3032)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1696)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:105)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.os.Looper.loop() (Looper.java:164)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6940)
09-02 17:27:18.839  6534  6534 I zygote  :   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
09-02 17:27:18.839  6534  6534 I zygote  :   at void com.android.internal.os.Zygote$MethodAndArgsCaller.run() (Zygote.java:327)
09-02 17:27:18.839  6534  6534 I zygote  :   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:1374)
09-02 17:27:18.839  6534  6534 I zygote  : Caused by: java.lang.ClassNotFoundException: Didn't find class "com.miui.referrer.api.GetAppsReferrerStateListener" on path: DexPathList[[zip file "/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/base.apk", zip file "/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.armeabi_v7a.apk", zip file "/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.en.apk", zip file "/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.xhdpi.apk"],nativeLibraryDirectories=[/data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/lib/arm, /data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/base.apk!/lib/armeabi-v7a, /data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.armeabi_v7a.apk!/lib/armeabi-v7a, /data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.en.apk!/lib/armeabi-v7a, /data/app/com.opera.browser-nT8zLVv577nPWj5rs8AXUA==/split_config.xhdpi.apk!/lib/armeabi-v7a, /system/lib, /vendor/lib]]
09-02 17:27:18.839  6534  6534 I zygote  :   at java.lang.Class dalvik.system.BaseDexClassLoader.findClass(java.lang.String) (BaseDexClassLoader.java:93)
09-02 17:27:18.839  6534  6534 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String, boolean) (ClassLoader.java:379)
09-02 17:27:18.839  6534  6534 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String) (ClassLoader.java:312)
09-02 17:27:18.839  6534  6534 I zygote  :   at void com.appsflyer.internal.AFa1eSDK.afDebugLog() (SourceFile:20)
09-02 17:27:18.839  6534  6534 I zygote  :   at com.appsflyer.AppsFlyerLib com.appsflyer.internal.AFa1eSDK.init(java.lang.String, com.appsflyer.AppsFlyerConversionListener, android.content.Context) (SourceFile:100)
09-02 17:27:18.839  6534  6534 I zygote  :   at void com.opera.android.AppsflyerInitializer.b() (SourceFile:397)
09-02 17:27:18.839  6534  6534 I zygote  :   at void com.opera.android.AppsflyerInitializer.h(g15) (SourceFile:9)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.FullLifecycleObserverAdapter.q(g15, androidx.lifecycle.c$b) (SourceFile:43)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.e$a.a(g15, androidx.lifecycle.c$b) (SourceFile:18)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.e.i() (SourceFile:329)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.e.g(androidx.lifecycle.c$c) (SourceFile:51)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.e.f(androidx.lifecycle.c$b) (SourceFile:10)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.i.a(android.app.Activity, androidx.lifecycle.c$b) (SourceFile:29)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.i.b(androidx.lifecycle.c$b) (SourceFile:11)
09-02 17:27:18.839  6534  6534 I zygote  :   at void androidx.lifecycle.i.onActivityCreated(android.os.Bundle) (SourceFile:6)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.Fragment.performActivityCreated(android.os.Bundle) (Fragment.java:2620)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveToState(android.app.Fragment, int, int, int, boolean) (FragmentManager.java:1296)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveFragmentToExpectedState(android.app.Fragment) (FragmentManager.java:1549)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.moveToState(int, boolean) (FragmentManager.java:1611)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.dispatchMoveToState(int) (FragmentManager.java:3045)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentManagerImpl.dispatchActivityCreated() (FragmentManager.java:2997)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.FragmentController.dispatchActivityCreated() (FragmentController.java:179)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.Activity.performCreateCommon() (Activity.java:7177)
09-02 17:27:18.839  6534  6534 I zygote  :   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7185)
