--------- beginning of main
09-02 18:45:46.590 14031 14031 E adbd    : recv: OPEN 000264e7 00000000 0095:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 66 69 72 65 66 6F 78 2F 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 67 65 63 6B 6F 2E 42 72 6F 77 73 65 72 41 70 70 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 18:45:46.590 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n org.mozilla.firefox/org.mozilla.gecko.BrowserApp --activity-clear-task
09-02 18:45:48.422  8104  8133 E GeckoLibLoad: Loaded libs in 22.315154ms total, 4ms(4ms) user, 16ms(20ms) system, 0(0) faults
09-02 18:45:48.422  8104  8133 W GeckoThread: zerdatime 118329855 - runGecko
09-02 18:45:48.426  3347  3347 W keymaster2_mdfpp: entered get_key_characteristics function.
09-02 18:45:48.428  3347  3347 W keymaster_tee: [WRN]KEY_PARAMS: AES ENC DEC GCM PADNO AUTH SIZE:256 
09-02 18:45:48.428  3347  3347 W keymaster_tee: [WRN]KEY_PARAMS: 20230902081917 
09-02 18:45:48.428  3347  3347 W keymaster2_mdfpp: exit get_key_characteristics function, returned 0
09-02 18:45:48.433  3347  3347 W keymaster2_mdfpp: entered get_key_characteristics function.
09-02 18:45:48.434  3347  3347 W keymaster_tee: [WRN]KEY_PARAMS: AES ENC DEC GCM PADNO AUTH SIZE:256 
09-02 18:45:48.434  3347  3347 W keymaster_tee: [WRN]KEY_PARAMS: 20230902081917 
09-02 18:45:48.434  3347  3347 W keymaster2_mdfpp: exit get_key_characteristics function, returned 0
09-02 18:45:48.436  3979  5977 V WindowManager: Relayout Window{e67d97a u0 org.mozilla.firefox/org.mozilla.fenix.HomeActivity}: viewVisibility=0 req=719x1237 WM.LayoutParams{(0,0)(fillxfill) sim=#110 ty=1 fl=#81010100 pfl=0x20000 wanim=0x7f1404fa vsysui=0x2610 needsMenuKey=2 colorMode=0 naviIconColor=0}
09-02 18:45:48.441  3462  3462 I SurfaceFlinger: id=3937 createSurf (720x1280),1 flag=404, org.mozilla.firefox/org.mozilla.fenix.HomeActivity#0
09-02 18:45:48.441  3979  5977 V Surface : sf_framedrop debug : 0x4f4c, game : false, logging : 0
09-02 18:45:48.442  3979  3996 D WindowManager: set systemUiVisibility : systemUiFlags= 0x2608 fullscreenStackSysUiFlags= 0x0
09-02 18:45:48.447  3979  5977 D InputDispatcher: Focus entered window: 7948
09-02 18:45:48.448  7948  8151 I FirefoxAccount: Registering persistence callback
09-02 18:45:48.448  7948  8151 I FirefoxAccountStateMachine: Ran 'mozilla.components.service.fxa.manager.Event$Account$Start@d641a3e' side-effects for state Active(progressState=Initializing), got successive event mozilla.components.service.fxa.manager.Event$Progress$AccountNotFound@a5b58b4
09-02 18:45:48.448  7948  8151 I FirefoxAccountStateMachine: Processing event 'mozilla.components.service.fxa.manager.Event$Progress$AccountNotFound@a5b58b4' for state Active(progressState=Initializing). Next state is Idle(accountState=NotAuthenticated)
09-02 18:45:48.449  7948  7948 V Surface : sf_framedrop debug : 0x4f4c, game : false, logging : 0
09-02 18:45:48.449  3979  9339 D WindowManager: adjustSystemUiVisibilityLw : vis= 0x2608
09-02 18:45:48.449  7948  7948 D ViewRootImpl@88b7945[HomeActivity]: Relayout returned: old=[0,0][0,0] new=[0,0][720,1280] result=0x7 surface={valid=true 533359980544} changed=true
09-02 18:45:48.450  7948  8141 I OpenGLRenderer: Initialized EGL, version 1.4
09-02 18:45:48.450  7948  8141 D OpenGLRenderer: Swap behavior 2
09-02 18:45:48.453  7948  8141 D libGLESv1: STS_GLApi : DTS, ODTC are not allowed for Package : org.mozilla.firefox
09-02 18:45:48.455  7948  8141 D mali_winsys: EGLint new_window_surface(egl_winsys_display *, void *, EGLSurface, EGLConfig, egl_winsys_surface **, egl_color_buffer_format *, EGLBoolean) returns 0x3000,  [720x1280]-format:1
09-02 18:45:48.455  7948  8141 D OpenGLRenderer: eglCreateWindowSurface = 0x7c2a323380
09-02 18:45:48.467  3979  9339 I ActivityManager: Displayed org.mozilla.firefox/org.mozilla.fenix.HomeActivity: +717ms (total +1s535ms)
09-02 18:45:48.467  3979  9339 I ActivityManager: Fully drawn org.mozilla.firefox/org.mozilla.fenix.HomeActivity: +717ms (total +1s535ms)
09-02 18:45:48.469  3462  3462 I SurfaceFlinger: id=3938 createSurf (720x1238),1 flag=4, SurfaceView - org.mozilla.firefox/org.mozilla.fenix.HomeActivity@97c052@0#0
09-02 18:45:48.470  3462  3462 I SurfaceFlinger: id=3939 createSurf (720x1238),-1 flag=20004, Background for - SurfaceView - org.mozilla.firefox/org.mozilla.fenix.HomeActivity@97c052@0#0
09-02 18:45:48.471  7948  7948 D SurfaceView: BG hide() Surface(name=Background for - SurfaceView - org.mozilla.firefox/org.mozilla.fenix.HomeActivity@97c052@0) false true org.mozilla.gecko.MagnifiableSurfaceView{97c052 V.E...... ......ID 0,0-720,1238}
09-02 18:45:48.473  7948  7948 V Surface : sf_framedrop debug : 0x4f4c, game : false, logging : 0
09-02 18:45:48.473  7948  7948 D SurfaceView: surfaceCreated 1 org.mozilla.gecko.MagnifiableSurfaceView{97c052 V.E...... ......ID 0,0-720,1238}
09-02 18:45:48.474  7948  7948 D SurfaceView: surfaceChanged (720,1238) 1 org.mozilla.gecko.MagnifiableSurfaceView{97c052 V.E...... ......ID 0,0-720,1238}
09-02 18:45:48.492  3979  9339 D ConnectivityService: filterNetworkStateForUid() uid: 10154 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:48.493  3979  9339 I chatty  : uid=1000(system) Binder:3979_1C identical 1 line
09-02 18:45:48.494  3979  9339 D ConnectivityService: filterNetworkStateForUid() uid: 10154 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:48.502  3979  9339 V WindowManager: Relayout Window{e67d97a u0 org.mozilla.firefox/org.mozilla.fenix.HomeActivity}: viewVisibility=0 req=720x1280 WM.LayoutParams{(0,0)(fillxfill) sim=#110 ty=1 fl=#81010100 pfl=0x20000 fmt=-3 wanim=0x7f1404fa vsysui=0x2610 needsMenuKey=2 colorMode=0 naviIconColor=0}
09-02 18:45:48.507  7948  7948 D ViewRootImpl@88b7945[HomeActivity]: Relayout returned: old=[0,0][720,1280] new=[0,0][720,1280] result=0x3 surface={valid=true 533359980544} changed=false
09-02 18:45:48.532  3979  9339 V WindowManager: finishDrawingLocked: mDrawState=COMMIT_DRAW_PENDING Window{e67d97a u0 org.mozilla.firefox/org.mozilla.fenix.HomeActivity} in Surface(name=org.mozilla.firefox/org.mozilla.fenix.HomeActivity)
09-02 18:45:48.533  7948  7948 D ViewRootImpl@88b7945[HomeActivity]: MSG_RESIZED_REPORT: frame=Rect(0, 0 - 720, 1280) ci=Rect(0, 42 - 0, 0) vi=Rect(0, 42 - 0, 0) or=1
09-02 18:45:48.534  7948  7948 D ViewRootImpl@88b7945[HomeActivity]: MSG_WINDOW_FOCUS_CHANGED 1
09-02 18:45:48.543  3979  4046 D ViewRootImpl@36921d4[firefox]: dispatchDetachedFromWindow
09-02 18:45:48.544  3979  4046 D InputEventReceiver: channel 'a0a2f7d Splash Screen org.mozilla.firefox (client)' ~ Disposing input event receiver.
09-02 18:45:48.544  3979  4046 D InputEventReceiver: channel 'a0a2f7d Splash Screen org.mozilla.firefox (client)' ~NativeInputEventReceiver.
09-02 18:45:48.547  3979  3996 D WindowManager: set systemUiVisibility : systemUiFlags= 0x2618 fullscreenStackSysUiFlags= 0x2000
09-02 18:45:48.549  3979  9339 D WindowManager: adjustSystemUiVisibilityLw : vis= 0x2618
09-02 18:45:48.550  3979  4004 D CustomFrequencyManagerService: acquireDVFSLockLocked : type : DVFS_MIN_LIMIT  frequency : 1560000  uid : 1000  pid : 3979  pkgName : AMS_RESUME_TAIL@CPU_MIN@14
09-02 18:45:48.550  3979  4004 D ActivityManagerPerformance: AMP_acquire() TAIL
09-02 18:45:48.550  3979  4004 D CustomFrequencyManagerService: releaseDVFSLockLocked : Getting Lock type frm List : DVFS_MIN_LIMIT  frequency : 1560000  uid : 1000  pid : 3979  tag : AMS_APP_SWITCH@CPU_MIN@23
09-02 18:45:48.551  3979  4004 D ActivityManagerPerformance: AMP_release() APP_SWITCH
09-02 18:45:48.554  7948  7948 V InputMethodManager: Starting input: tba=android.view.inputmethod.EditorInfo@6b47f5b nm : org.mozilla.firefox ic=null
09-02 18:45:48.554  7948  7948 I InputMethodManager: startInputInner - mService.startInputOrWindowGainedFocus
09-02 18:45:48.554  3979  9339 D InputMethodManagerService: startInputOrWindowGainedFocus : windowGainedFocus 
09-02 18:45:48.554  3979  9339 D InputMethodManagerService: windowGainedFocus: destinationUserId (getCallingUid) = 0
09-02 18:45:48.554  3979  9339 D InputMethodManagerService: windowGainedFocus: currentUserId=0
09-02 18:45:48.554  3979  9339 D InputMethodManagerService: windowGainedFocus: mCurrentFocusedUserId=0
09-02 18:45:48.555  3979  9339 D InputMethodManagerService: windowGainedFocus : lock - currentUserId = 0 destinationUserId = 0
09-02 18:45:48.555  3979  9339 D InputMethodManagerService: windowGainedFocus : mCurrentFocusedUserId - 0 and mSecureKeypadEnabled - false, userSwitched - false
09-02 18:45:48.555  3979  9339 V InputMethodManagerService: windowGainedFocus : reason=WINDOW_FOCUS_GAIN client=android.os.BinderProxy@b44f39c inputContext=null missingMethods= attribute=android.view.inputmethod.EditorInfo@2e21a34 nm = org.mozilla.firefox controlFlags=#104 softInputMode=#110 windowFlags=#81010100
09-02 18:45:48.555  3979  9339 V InputMethodManagerService: hideCurrentInputLocked : shouldHideSoftInput is false
09-02 18:45:48.555  3979  9339 D InputMethodManagerService: isImeSwitcherDisabledPackage : false
09-02 18:45:48.555  3979  9339 V InputMethodManagerService: Creating new session for client ClientState{679305d uid 10154 pid 7948}
09-02 18:45:48.558  3979  9339 D InputMethodManagerService: setCurrentInputInfo - inputContext : null eidtorInfo : android.view.inputmethod.EditorInfo@2e21a34 missingMethods : 0
09-02 18:45:48.564  4336  4336 I InputMethodWrapper:  call dispatchStartInputWithToken
09-02 18:45:48.564  4336  4336 I InputMethodService: dispatchStartInputWithToken
09-02 18:45:48.564  4336  4336 I SKBD    : SamsungKeypad [IMI] onStartInput - caller pid : 7948, caller uid : 10154
09-02 18:45:48.565  7948  7948 I DefaultSupportedAddonsChecker: Unregister check for new supported add-ons
09-02 18:45:48.578  3462  3462 I SurfaceFlinger: Display 0 HWC layers:
09-02 18:45:48.578  3462  3462 I SurfaceFlinger:     type    |    handle    | flag |  format   |   source crop (l,t,r,b)    |         frame       | name 
09-02 18:45:48.578  3462  3462 I SurfaceFlinger: ------------+--------------+------+-----------+----------------------------+---------------------+------
09-02 18:45:48.578  3462  3462 I SurfaceFlinger:      Device | 0x7abe64c040 | 0000 | RGBA_8888 |   0.0    0.0  720.0 1280.0 |    0    0  720 1280 | org.mozilla.firefox/org.mozilla.fenix.HomeActivity#0
09-02 18:45:48.578  3462  3462 I SurfaceFlinger:      Device | 0x7ac4c24a80 | 0000 | RGBA_8888 |   0.0    0.0  720.0 1280.0 |    0    0  720 1280 | Splash Screen org.mozilla.firefox#0
09-02 18:45:48.578  3462  3462 I SurfaceFlinger:      Device | 0x7abe64bd40 | 0000 | RGBA_8888 |   0.0    0.0  720.0   42.0 |    0    0  720   42 | StatusBar#0
09-02 18:45:48.578  3462  3462 I SurfaceFlinger: 
09-02 18:45:48.580  3449  3449 I android.hardware.wifi@1.0-service: getLinkLayerStats
09-02 18:45:48.640  7948  7948 D skia    : approximate: numPoints=40, lengths[39]=620.200073, totalLength=620.200073, segmentPoints[39]=[422.600037,0.000000]
09-02 18:45:48.640  7948  7948 D skia    : approximate: approximation[117]=1.000000, approximation[118]=422.600037, approximation[119]=0.000000
09-02 18:45:48.641  7948  7948 D skia    : approximate: numPoints=4, lengths[3]=3.448155, totalLength=3.448155, segmentPoints[3]=[3.000000,0.100000]
09-02 18:45:48.641  7948  7948 D skia    : approximate: approximation[9]=1.000000, approximation[10]=3.000000, approximation[11]=0.100000
09-02 18:45:48.642  7948  7948 D skia    : approximate: numPoints=37, lengths[36]=722.199951, totalLength=722.199951, segmentPoints[36]=[199.600006,0.000000]
09-02 18:45:48.642  7948  7948 D skia    : approximate: approximation[108]=1.000000, approximation[109]=199.600006, approximation[110]=0.000000
09-02 18:45:48.642  7948  7948 D skia    : approximate: numPoints=3, lengths[2]=2.472497, totalLength=2.472497, segmentPoints[2]=[2.000000,0.100000]
09-02 18:45:48.642  7948  7948 D skia    : approximate: approximation[6]=1.000000, approximation[7]=2.000000, approximation[8]=0.100000
09-02 18:45:48.648  7948  7948 V InputMethodManager: Starting input: tba=android.view.inputmethod.EditorInfo@8e91346 nm : org.mozilla.firefox ic=null
09-02 18:45:48.648  7948  7948 I InputMethodManager: startInputInner - mService.startInputOrWindowGainedFocus
09-02 18:45:48.648  3979  5977 D InputMethodManagerService: startInputOrWindowGainedFocus : startInput 
09-02 18:45:48.649  3979  5977 D InputMethodManagerService: setCurrentInputInfo - inputContext : null eidtorInfo : android.view.inputmethod.EditorInfo@7a0a5a0 missingMethods : 0
09-02 18:45:48.649  4336  4336 I InputMethodWrapper:  call dispatchStartInputWithToken
09-02 18:45:48.649  4336  4336 I InputMethodService: dispatchStartInputWithToken
09-02 18:45:48.649  4336  4336 I SKBD    : SamsungKeypad [IMI] onStartInput - caller pid : 7948, caller uid : 10154
09-02 18:45:48.725  3979  4046 I WindowManager: Destroying surface Surface(name=Splash Screen org.mozilla.firefox) called by com.android.server.wm.WindowStateAnimator.destroySurface:2501 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:985 com.android.server.wm.WindowState.destroyOrSaveSurfaceUnchecked:3671 com.android.server.wm.WindowState.destroySurface:3619 com.android.server.wm.AppWindowToken.destroySurfaces:722 com.android.server.wm.AppWindowToken.destroySurfaces:706 com.android.server.wm.WindowState.onExitAnimationDone:5333 com.android.server.wm.WindowStateAnimator.stepAnimationLocked:550 
09-02 18:45:48.725  3462  4087 I SurfaceFlinger: id=3936 Removed Splash Screen org.mozilla.firefox#0 (3/5)
09-02 18:45:48.726  3462  3462 I SurfaceFlinger: Display 0 HWC layers:
09-02 18:45:48.726  3462  3462 I SurfaceFlinger:     type    |    handle    | flag |  format   |   source crop (l,t,r,b)    |         frame       | name 
09-02 18:45:48.726  3462  3462 I SurfaceFlinger: ------------+--------------+------+-----------+----------------------------+---------------------+------
09-02 18:45:48.726  3462  3462 I SurfaceFlinger:      Device | 0x7abe64c040 | 0000 | RGBA_8888 |   0.0    0.0  720.0 1280.0 |    0    0  720 1280 | org.mozilla.firefox/org.mozilla.fenix.HomeActivity#0
09-02 18:45:48.726  3462  3462 I SurfaceFlinger:      Device | 0x7ac4c24240 | 0000 | RGBA_8888 |   0.0    0.0  720.0   42.0 |    0    0  720   42 | StatusBar#0
09-02 18:45:48.726  3462  3462 I SurfaceFlinger: 
09-02 18:45:48.734  3462  3501 I SurfaceFlinger: id=3936 Removed Splash Screen org.mozilla.firefox#0 (-2/5)
09-02 18:45:48.740  3462  3462 I Layer   : id=3936 onRemoved Splash Screen org.mozilla.firefox#0 
09-02 18:45:48.779  3979  5977 V WindowManager: Relayout Window{e67d97a u0 org.mozilla.firefox/org.mozilla.fenix.HomeActivity}: viewVisibility=0 req=720x1280 WM.LayoutParams{(0,0)(fillxfill) sim=#10 ty=1 fl=#81010100 pfl=0x20000 fmt=-3 wanim=0x7f1404fa vsysui=0x2610 needsMenuKey=2 colorMode=0 naviIconColor=0}
09-02 18:45:48.784  7948  7948 D ViewRootImpl@88b7945[HomeActivity]: Relayout returned: old=[0,0][720,1280] new=[0,0][720,1280] result=0x1 surface={valid=true 533359980544} changed=false
09-02 18:45:48.811  3979  5977 D ConnectivityService: filterNetworkStateForUid() uid: 10102 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:48.813  7881  7881 W fb4a.MobileConfigFactoryImpl: SESSIONLESS factory used for 2 param
09-02 18:45:48.813  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 18:45:48.815  3614  3927 D DnsProxyListener: DNSDBG::dns addrinfo af 2
09-02 18:45:48.818  7948  7948 W InputMethodManager: Ignoring onBind: cur seq=2517, given seq=2516
09-02 18:45:48.892 10264 10280 I FontLog : Received query Noto Color Emoji Compat, URI content://com.google.android.gms.fonts [CONTEXT service_id=132 ]
09-02 18:45:48.892 10264 10280 I FontLog : Query [emojicompat-emoji-font] resolved to {Noto Color Emoji Compat, wdth 100.0, wght 400, ital 0.0, bestEffort false} [CONTEXT service_id=132 ]
09-02 18:45:48.895 10264 10280 I FontLog : Fetch {Noto Color Emoji Compat, wdth 100.0, wght 400, ital 0.0, bestEffort false} end status Status{statusCode=SUCCESS, resolution=null} [CONTEXT service_id=132 ]
09-02 18:45:48.903 10264 10280 I FontLog : Pulling font file for id = 1884, cache size = 7 [CONTEXT service_id=132 ]
09-02 18:45:48.909  3979  9339 D ConnectivityService: filterNetworkStateForUid() uid: 10025 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:48.910 10264 10280 I FontLog : Pulling font file for id = 1884, cache size = 7 [CONTEXT service_id=132 ]
09-02 18:45:48.926  7948  7948 I zygote64: Deoptimizing kotlinx.coroutines.DisposableHandle kotlinx.coroutines.JobSupport.invokeOnCompletion(boolean, boolean, kotlin.jvm.functions.Function1) due to JIT inline cache
09-02 18:45:48.934  7948  7948 I zygote64: Deoptimizing void kotlin.sequences.FilteringSequence$iterator$1.calcNext() due to JIT inline cache
09-02 18:45:48.941  7948  8142 I libglean_ffi: glean_core::upload: Ping 6ad52e9a-4379-4db0-a0db-323ac9241992 successfully sent 200.
09-02 18:45:48.942  3979  5977 D ConnectivityService: filterNetworkStateForUid() uid: 10025 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:48.943  7948  8142 I libglean_ffi: glean_core::upload::directory: File was deleted /data/user/0/org.mozilla.firefox/glean_data/pending_pings/6ad52e9a-4379-4db0-a0db-323ac9241992
09-02 18:45:48.945  7948  8142 I libglean_ffi: glean_core::upload: New upload task with id f3a49a93-2652-4bf5-9efe-f8094848d392 (path: /submit/org-mozilla-firefox/baseline/1/f3a49a93-2652-4bf5-9efe-f8094848d392)
09-02 18:45:48.946  3979  3979 D PreBindingService: handleMessage : 1
09-02 18:45:48.953  7881  7839 D omnistore_android_logger: DebouncingRateLimiter attempting event SyncProtocol::onConnectionEstablished
09-02 18:45:48.953  7881  7839 D omnistore_android_logger: AlarmManager::startAlarmTimer for key=SyncProtocol::onConnectionEstablished, it will NOT wake up main thread to reschedule
09-02 18:45:48.954  7881  7839 W omnistore_android_logger: Event SyncProtocol::onConnectionEstablished rate limited for 22912 ms
09-02 18:45:48.954  7881  7881 W fb4a.MobileConfigFactoryImpl: SESSIONLESS factory used for 2 param
09-02 18:45:48.955  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 18:45:48.955  3979  5977 D ConnectivityService: filterNetworkStateForUid() uid: 10025 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:48.967  3979  9339 V WindowManager: rotationForOrientationLw(orient=2, last=0); user=0  sensorRotation=-1 mLidState=-1 mDockMode=0 mHdmiPlugged=false
09-02 18:45:48.975  7948  7948 I zygote64: Deoptimizing java.lang.Object mozilla.components.support.ktx.kotlinx.coroutines.flow.FlowKt$filterChanged$1.invokeSuspend(java.lang.Object) due to JIT inline cache
09-02 18:45:48.985  7948  7948 I zygote64: Deoptimizing kotlinx.coroutines.internal.LockFreeLinkedListNode kotlinx.coroutines.internal.LockFreeLinkedListNode.correctPrev() due to JIT inline cache
09-02 18:45:48.993  3979  9339 V WindowManager: Relayout Window{e67d97a u0 org.mozilla.firefox/org.mozilla.fenix.HomeActivity}: viewVisibility=0 req=720x1280 WM.LayoutParams{(0,0)(fillxfill) sim=#10 ty=1 fl=#81010100 pfl=0x20000 fmt=-3 wanim=0x7f1404fa vsysui=0x2610 needsMenuKey=2 colorMode=0 naviIconColor=0}
09-02 18:45:49.000  7948  7948 D ViewRootImpl@88b7945[HomeActivity]: Relayout returned: old=[0,0][720,1280] new=[0,0][720,1280] result=0x1 surface={valid=true 533359980544} changed=false
09-02 18:45:49.007  7881  4231 E fb4a.msys: E[N MQTT]readEOF(124)=>TCPStreamTransport readEOF
09-02 18:45:49.007  7881  4231 E fb4a.msys: E[N MQTT]onEOF(699)=>LigerBasedStreamTransport onEOF
09-02 18:45:49.011  7881  7819 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 6311, error = 2003
09-02 18:45:49.012  7881  7819 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 6310, error = 2003
09-02 18:45:49.012  7881  7819 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 6309, error = 2003
09-02 18:45:49.013  3979  5977 D ConnectivityService: filterNetworkStateForUid() uid: 10102 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:49.014  7881  4225 E fb4a.msys: E[N rtchannel]_rt_mqtt_publish_callback(430)=>Failed to publish the request over MQTT (possible duplicate log). token:058d06af-d65a-41b7-b580-7ca6012219da, category:mcd-sync-data-task-category, requestId:1368, error:Error Domain=mqtt Code=2003 UserInfo=0xc81ec900 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:49.015  7948  7948 I WebExtension: releasePendingMessages: extension=fxa@mozac.org nativeApp=mozacWebchannelBackground session=null
09-02 18:45:49.015  7881  4225 E fb4a.msys: E[N rtchannel]_rt_mqtt_publish_callback(430)=>Failed to publish the request over MQTT (possible duplicate log). token:fadeb2a4-70dc-4cf3-a049-36391f9dad18, category:mcd-sync-data-task-category, requestId:63420, error:Error Domain=mqtt Code=2003 UserInfo=0xb2e4d900 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:49.016  7881  7881 W fb4a.MobileConfigFactoryImpl: SESSIONLESS factory used for 2 param
09-02 18:45:49.017  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 18:45:49.026  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 058d06af-d65a-41b7-b580-7ca6012219da contains sync error Error Domain=mqtt Code=2003 UserInfo=0xc81ec900 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003} - Underlying error (null): Error Domain=mqtt Code=2003 UserInfo=0xc81ec900 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:49.041  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response fadeb2a4-70dc-4cf3-a049-36391f9dad18 contains sync error Error Domain=mqtt Code=2003 UserInfo=0xb2e4d900 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003} - Underlying error (null): Error Domain=mqtt Code=2003 UserInfo=0xb2e4d900 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:49.063  7948  7953 I zygote64: Do full code cache collection, code=508KB, data=296KB
09-02 18:45:49.067  7948  7953 I zygote64: After code cache collection, code=387KB, data=193KB
09-02 18:45:49.071  7948  7948 I WebExtension: releasePendingMessages: extension=icons@mozac.org nativeApp=MozacBrowserIcons session=org.mozilla.geckoview.GeckoSession@4916461
09-02 18:45:49.075  7948  7948 I WebExtension: releasePendingMessages: extension=fxa@mozac.org nativeApp=mozacWebchannel session=org.mozilla.geckoview.GeckoSession@4916461
09-02 18:45:49.079  7948  7948 I WebExtension: releasePendingMessages: extension=ads@mozac.org nativeApp=MozacBrowserAdsMessage session=org.mozilla.geckoview.GeckoSession@4916461
09-02 18:45:49.097  7948  7982 W ResourceType: Too many attribute references, stopped at: 0x01010099
09-02 18:45:49.102  7948  7948 I WebExtension: releasePendingMessages: extension=cookies@mozac.org nativeApp=MozacBrowserSearchMessage session=org.mozilla.geckoview.GeckoSession@4916461
09-02 18:45:49.128  7948  7948 I SessionPrioritizationMiddleware: Update the currentSelectedTab c2d12134-695d-4b64-868f-d1c7c5f7c75c priority to HIGH
09-02 18:45:49.129  7948  7948 I WebExtension: releasePendingMessages: extension=readerview@mozac.org nativeApp=mozacReaderviewActive session=org.mozilla.geckoview.GeckoSession@4916461
09-02 18:45:49.129  7948  7948 I WebExtension: releasePendingMessages: extension=readerview@mozac.org nativeApp=mozacReaderview session=org.mozilla.geckoview.GeckoSession@4916461
09-02 18:45:49.129  7948  7948 I WebExtension: releasePendingMessages: extension=readerview@mozac.org nativeApp=mozacReaderviewActive session=org.mozilla.geckoview.GeckoSession@4916461
09-02 18:45:49.129  7948  7948 I WebExtension: releasePendingMessages: extension=readerview@mozac.org nativeApp=mozacReaderview session=org.mozilla.geckoview.GeckoSession@4916461
09-02 18:45:49.146  7881  7873 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:49.146  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task b873f698-0221-49b6-8cf6-590b30492502 (response type 1): (null)
09-02 18:45:49.146  7881  7873 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:49.147  7881  7873 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:49.147  7881  7873 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:49.147  7881  7873 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:49.147  7881  7873 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:49.147  7881  7873 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:49.147  7881  7873 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:49.147  7881  7873 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:49.149  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response b873f698-0221-49b6-8cf6-590b30492502 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8fb00 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8fb00 {MCFErrorDirectLocalizedDescriptionKey=Client error}
